entity_key,display_name,n_txn,exposure,n_flagged,has_tier1,n_ids
LEGACY TRADITIONAL SCHOOL-LAVEEN,LEGACY TRADITIONAL SCHOOL-LAVEEN,17,3563335,0,0,1
WIST OFFICE PRODUCTS,WIST OFFICE PRODUCTS,19,3552002,2,0,1
TOWN OF SPRINGERVILLE,TOWN OF SPRINGERVILLE,17,3527342,0,0,2
BANNER BEHAVORIAL HEALTH,BANNER BEHAVORIAL HEALTH,12,3525645,0,0,2
"ARIZONA DOWNS, LLC","ARIZONA DOWNS, LLC",6,3523554,0,0,1
MARICOPA COUNTY TEMPE UNION HIGH SCHOOL DIST 213,MARICOPA COUNTY TEMPE UNION HIGH SCHOOL DIST 213,1,3522581,0,0,1
FRIENDLY HOUSE INC,FRIENDLY HOUSE INC,21,3511431,0,0,2
JOHN C LINCOLN-DEER VLLY,JOHN C LINCOLN-DEER VLLY,5,3504533,0,0,1
PATHFINDER CHARTER SCHOOL FOUNDATION INC,PATHFINDER CHARTER SCHOOL FOUNDATION INC,13,3495906,0,0,1
HISTORIC ROUTE 66 ASSN OF ARIZONA,HISTORIC ROUTE 66 ASSN OF ARIZONA,10,3493992,0,0,1
FUGRO ROADWARE INC,FUGRO ROADWARE INC,10,3475456,10,0,1
CLOUD SOFTWARE GROUP INC,CLOUD SOFTWARE GROUP INC,9,3467220,2,0,1
ALLIED BEHAVIORAL HEALTH,ALLIED BEHAVIORAL HEALTH,16,3464714,0,0,1
JUNIOR ACHIEVEMENT OF ARIZONA,JUNIOR ACHIEVEMENT OF ARIZONA,11,3460890,0,0,1
A BETTER LIVING HEALTH SE,A BETTER LIVING HEALTH SE,21,3460595,0,0,1
ALWAYS AVAILABLE DAIRY SERVICE LLC,ALWAYS AVAILABLE DAIRY SERVICE LLC,15,3458817,15,0,1
"ASR ANALYTICS, LLC","ASR ANALYTICS, LLC",16,3452955,2,0,1
"THE NEWPORT GROUP 37\, LLC","THE NEWPORT GROUP 37\, LLC",3,3445588,3,1,1
HEROS ADVOCACY GROUP,HEROS ADVOCACY GROUP,18,3443379,0,0,1
USAA ANNUITY SERVICES CORPOTATION,USAA ANNUITY SERVICES CORPOTATION,3,3443100,1,0,1
KLIK TECHNOLOGIES CORP,KLIK TECHNOLOGIES CORP,14,3441135,14,0,1
NEIGHBORHOOD HOUSING SERVICES OF PHOENIX INC,NEIGHBORHOOD HOUSING SERVICES OF PHOENIX INC,11,3422677,0,0,1
PYTNEWBEGINNINGS,PYTNEWBEGINNINGS,20,3414643,0,0,1
FALCONE BROS INC,FALCONE BROS INC,19,3414455,9,0,1
KINDERCARE LEARNING CENTERS LLC,KINDERCARE LEARNING CENTERS LLC,29,3405480,0,0,1
BREYER LAW OFFICES PC,BREYER LAW OFFICES PC,2,3397640,1,0,1
FORALLCARELLC,FORALLCARELLC,22,3383367,0,0,1
CACTUS WREN COMMUNITY SER,CACTUS WREN COMMUNITY SER,18,3374895,0,0,1
MEADOW VALLEY CONTRACTORS INC,MEADOW VALLEY CONTRACTORS INC,16,3374537,4,0,1
NEW DAY HEALTH SERVICES,NEW DAY HEALTH SERVICES,18,3371125,0,0,1
FLAGSTAFF UNIFIED SCHOOL DISTRICT NO 1,FLAGSTAFF UNIFIED SCHOOL DISTRICT NO 1,2,3362536,0,0,1
SUPPORTIVE COMMUNITY SERV,SUPPORTIVE COMMUNITY SERV,22,3362095,0,0,1
UNION PACIFIC RAILROAD,UNION PACIFIC RAILROAD,19,3361762,9,0,2
59TH & I-10 INC,59TH & I-10 INC,2,3360000,2,1,1
WHELCON CONTRACTORS LLC,WHELCON CONTRACTORS LLC,19,3358759,14,0,1
JBILLING,JBILLING,7,3350000,2,0,2
VERDE VALLEY MEDICAL CTR.,VERDE VALLEY MEDICAL CTR.,11,3348942,0,0,2
JOBS FOR ARIZONAS GRADUATES,JOBS FOR ARIZONAS GRADUATES,17,3345155,1,0,1
ASPEN MEDICAL INTERNATIONAL LLC,ASPEN MEDICAL INTERNATIONAL LLC,20,3338685,9,0,1
"MARANA HEALTH CENTER, INC","MARANA HEALTH CENTER, INC",6,3333586,0,0,1
USDI - OFFICE OF AIRCRAFT SERVICES,USDI - OFFICE OF AIRCRAFT SERVICES,23,3330562,0,0,1
MOTOR COACH INDUSTRIES INC,MOTOR COACH INDUSTRIES INC,5,3317250,5,0,1
CRISIS RESPONSE NETWORK INC,CRISIS RESPONSE NETWORK INC,8,3314379,2,0,1
LITTLETON ELEMENTARY SCHOOL DISTRICT NO 65,LITTLETON ELEMENTARY SCHOOL DISTRICT NO 65,4,3310751,0,0,1
JS WALTZ CONSTRUCTION,JS WALTZ CONSTRUCTION,14,3309013,0,0,1
GLOBAL WATER RESOURCES INC,GLOBAL WATER RESOURCES INC,7,3308539,0,0,1
PLSN CORP,PLSN CORP,16,3302149,0,0,1
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,LEGACY TRADITIONAL SCHOOL - CASA GRANDE,14,3298683,0,0,1
SAN CARLOS APACHE HEALTHCARE CORPORATION INC,SAN CARLOS APACHE HEALTHCARE CORPORATION INC,30,3292233,0,0,1
M D MERRETT INC,M D MERRETT INC,25,3279191,3,0,2
TOWN OF CLIFTON,TOWN OF CLIFTON,9,3277657,0,0,1
"SUTHERLAND GOVERNMENT SOLUTIONS, INC.","SUTHERLAND GOVERNMENT SOLUTIONS, INC.",15,3275888,8,0,1
SCIENTIFIC TECHNOLOGIES CORP,SCIENTIFIC TECHNOLOGIES CORP,11,3252112,8,0,1
UNIVERSITY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT,5,3250583,0,0,1
MOUNTAIN VIEW FAMILY SERV,MOUNTAIN VIEW FAMILY SERV,21,3237035,0,0,1
CAASI HEALTH SERVICE,CAASI HEALTH SERVICE,17,3231046,0,0,1
ARIZONA ENVELOPE CO,ARIZONA ENVELOPE CO,13,3204889,1,0,1
OSBORN POINTE LP,OSBORN POINTE LP,4,3198197,0,0,1
"A & N SERVICES, LLC","A & N SERVICES, LLC",27,3194126,0,0,0
WEST POINT APARTMENTS II LP,WEST POINT APARTMENTS II LP,4,3193644,0,0,1
HABITAT FOR HUMANITY TUCSON,HABITAT FOR HUMANITY TUCSON,6,3192035,1,0,2
FRESH START RESOURCE CENT,FRESH START RESOURCE CENT,19,3187170,0,0,1
LIFETORCH RECOVERY CENTER,LIFETORCH RECOVERY CENTER,7,3180449,0,0,1
ROOSEVELT IRIGATION DISTRICT,ROOSEVELT IRIGATION DISTRICT,12,3179486,1,0,2
LINES BROTHERS LAND & CATTLE LLC,LINES BROTHERS LAND & CATTLE LLC,1,3174190,1,0,0
PHOENIX RISING OF ARIZONA,PHOENIX RISING OF ARIZONA,18,3150607,0,0,1
THE PAIDEIA ACADEMIES INC,THE PAIDEIA ACADEMIES INC,12,3149763,0,0,1
"ASR ANALYTICS\, LLC","ASR ANALYTICS\, LLC",14,3142781,1,0,1
RICHMAN GLENDALE SENIOR LLC,RICHMAN GLENDALE SENIOR LLC,5,3134840,0,0,1
M ARTHUR GENSLER JR & ASSOCIATES INC,M ARTHUR GENSLER JR & ASSOCIATES INC,13,3131294,3,0,1
NEW DIRECTION BEHAVIORAL,NEW DIRECTION BEHAVIORAL,16,3127167,0,0,1
ADAPTIVE INTEGRATED SERVI,ADAPTIVE INTEGRATED SERVI,17,3123965,0,0,1
COHEN KENNEDY DOWD & QUIGLEY PC,COHEN KENNEDY DOWD & QUIGLEY PC,20,3114926,5,0,2
THE ARIZONA PARTNERSHIP FOR IMMUNIZATION,THE ARIZONA PARTNERSHIP FOR IMMUNIZATION,16,3104686,0,0,2
CITY OF LITCHFIELD PARK,CITY OF LITCHFIELD PARK,4,3097181,1,0,1
COLLEGE BOARD,COLLEGE BOARD,5,3096716,5,0,1
STANTEC CONSULTING SERVICES INC,STANTEC CONSULTING SERVICES INC,22,3094775,9,0,2
MAXIMUS US SERVICES INC,MAXIMUS US SERVICES INC,8,3092493,5,0,1
JOYD WELLNESS CENTER,JOYD WELLNESS CENTER,9,3092324,0,0,1
MORPHOTRAK LLC,MORPHOTRAK LLC,12,3090944,1,0,1
TOWN OF PATAGONIA,TOWN OF PATAGONIA,10,3090521,0,0,1
AIRWAVE COMMUNICATION ENTERPRISES INC,AIRWAVE COMMUNICATION ENTERPRISES INC,13,3086581,2,0,1
TOWN OF YOUNGTOWN,TOWN OF YOUNGTOWN,3,3078228,0,0,1
AZDD INSPIRE INC,AZDD INSPIRE INC,14,3076687,0,0,1
GOLDER RANCH FIRE DISTRICT,GOLDER RANCH FIRE DISTRICT,7,3074112,0,0,1
EXELA ENTERPRISE SOLUTIONS INC,EXELA ENTERPRISE SOLUTIONS INC,23,3065044,1,0,1
VILLAGE MENTORS,VILLAGE MENTORS,19,3060999,0,0,1
RUBBER CITY MACHINERY CORP.,RUBBER CITY MACHINERY CORP.,8,3048209,8,0,1
CUSTOM STORAGE LLC,CUSTOM STORAGE LLC,18,3040755,8,0,1
BALL CHARTER SCHOOLS (HEARN),BALL CHARTER SCHOOLS (HEARN),20,3035252,0,0,1
LEADING EDGE ACADEMY MARICOPA,LEADING EDGE ACADEMY MARICOPA,11,3032183,0,0,1
COUNTY OF MARICOPA - CAVE CREEK UNIFIED SCHOOL DISTRICT,COUNTY OF MARICOPA - CAVE CREEK UNIFIED SCHOOL DISTRICT,4,3028525,0,0,1
OPEN HEARTS,OPEN HEARTS,1,3015000,0,0,1
ECONOSMART PROPERTY SERVICES LLC,ECONOSMART PROPERTY SERVICES LLC,11,3014614,2,0,1
NATIVE HEALTH,NATIVE HEALTH,12,3008438,0,0,1
"MEDIMPACT HEALTHCARE SYSTEMS, INC","MEDIMPACT HEALTHCARE SYSTEMS, INC",20,3002094,0,0,1
ZUNI PUEBLO,ZUNI PUEBLO,3,3000000,1,1,1
PHOENIX GOSPEL MISSION INC,PHOENIX GOSPEL MISSION INC,2,3000000,0,0,1
CENTERLINE ON GLENDALE TWO LLC,CENTERLINE ON GLENDALE TWO LLC,2,3000000,0,0,1
CHRISTINE RODE AND GOLDMAN & ZWILLINGER PLLC TRUST ACCOUNT,CHRISTINE RODE AND GOLDMAN & ZWILLINGER PLLC TRUST ACCOUNT,2,3000000,0,0,1
JOHN & BRITTANY FANELLI FOR ADDISON FANELLI AND THEIR,JOHN & BRITTANY FANELLI FOR ADDISON FANELLI AND THEIR,1,3000000,1,0,1
DHE COMPUTER SYSTEMS LLC,DHE COMPUTER SYSTEMS LLC,10,2995255,0,0,1
ROSEFIELD CHARTER ELEMENTARY SCHOOL INC,ROSEFIELD CHARTER ELEMENTARY SCHOOL INC,12,2994784,0,0,2
DC APARTMENTS LLC,DC APARTMENTS LLC,2,2992374,0,0,1
MT LEMMON FIRE DISTRICT,MT LEMMON FIRE DISTRICT,8,2980900,0,0,1
STATISTICAL RESEARCH INC,STATISTICAL RESEARCH INC,19,2978433,1,0,2
TOWN OF GUADALUPE,TOWN OF GUADALUPE,3,2975904,0,0,1
CORPORATE CLEANING INC,CORPORATE CLEANING INC,22,2974961,0,0,1
AT&T ENTERPRISES LLC,AT&T ENTERPRISES LLC,14,2972066,5,0,1
PAYSON REGIONAL MEDICAL,PAYSON REGIONAL MEDICAL,8,2971972,0,0,0
JOURNEY SOLUTIONS COMMUNI,JOURNEY SOLUTIONS COMMUNI,11,2971423,0,0,1
TOWN OF DEWEY HUMBOLDT,TOWN OF DEWEY HUMBOLDT,7,2967057,0,0,1
BONNEVILLE ENVIRONMENTAL FOUNDATION,BONNEVILLE ENVIRONMENTAL FOUNDATION,1,2963618,0,0,1
IMAGINE PREP COOLIDGE INC,IMAGINE PREP COOLIDGE INC,12,2956449,0,0,1
ARIZONA PARTNERSHIP FOR CHILDREN LLP,ARIZONA PARTNERSHIP FOR CHILDREN LLP,22,2950243,0,0,0
TRIZETTO CROPORATION,TRIZETTO CROPORATION,10,2949694,2,0,1
RWC INTERNATIONAL LTD,RWC INTERNATIONAL LTD,22,2937776,10,0,1
STRUCK LOVE BOJANOWSKI & ACEDO PLC,STRUCK LOVE BOJANOWSKI & ACEDO PLC,18,2936407,1,0,2
SMART SCHOOLS INC,SMART SCHOOLS INC,16,2932000,0,0,1
STRATEGIC MARKET SOLUTIONS INC,STRATEGIC MARKET SOLUTIONS INC,14,2926206,8,0,1
VERDE VALLEY MEDICAL CENTER,VERDE VALLEY MEDICAL CENTER,3,2918829,0,0,1
RE CENTERS OF ARIZONA INC,RE CENTERS OF ARIZONA INC,5,2918496,0,0,1
"MPI, INC.","MPI, INC.",5,2911847,5,1,1
IHS TSAILE HEALTH CENTER,IHS TSAILE HEALTH CENTER,22,2907392,0,0,1
BULLHEAD CITY SCHOOL DISTRICT 15,BULLHEAD CITY SCHOOL DISTRICT 15,7,2902714,0,0,1
MATRIX NEW WORLD ENGINEERING,MATRIX NEW WORLD ENGINEERING,16,2902289,0,0,1
CHINLE UNIFIED DISTRICT 24,CHINLE UNIFIED DISTRICT 24,4,2901817,0,0,1
WOMENS FOUNDATION FOR THE STATE OF ARIZONA,WOMENS FOUNDATION FOR THE STATE OF ARIZONA,10,2899074,0,0,1
VWR INTERNATIONAL LLC,VWR INTERNATIONAL LLC,19,2898703,0,0,1
SMITHKLINE-BEECHAM PHARMACEUTICALS,SMITHKLINE-BEECHAM PHARMACEUTICALS,9,2898179,6,0,1
DOE - WESTERN AREA POWER ADMINISTRATION,DOE - WESTERN AREA POWER ADMINISTRATION,2,2891603,2,1,1
ARIZONA BROADCASTORS ASSN,ARIZONA BROADCASTORS ASSN,11,2889000,6,1,1
NORMENT SECURITY GROUP INC,NORMENT SECURITY GROUP INC,18,2877167,2,0,2
SANOFI PASTUER INC,SANOFI PASTUER INC,13,2876344,9,0,1
JW MARRIOTT DESERT RIDGE,JW MARRIOTT DESERT RIDGE,10,2875848,1,0,1
ROSEN BIEN GALVAN & GRUNFELD LLP,ROSEN BIEN GALVAN & GRUNFELD LLP,3,2864775,3,1,1
CORNERSTONE DETENTION PRODUCTS INC,CORNERSTONE DETENTION PRODUCTS INC,15,2862513,4,0,2
PURE CARE BEHAVIORAL HEAL,PURE CARE BEHAVIORAL HEAL,14,2853852,0,0,1
VIVRE HOUSING LLC,VIVRE HOUSING LLC,16,2849028,16,0,1
"STORMWATER PLANS, LLC","STORMWATER PLANS, LLC",11,2839592,1,0,0
CITY OF BENSON,CITY OF BENSON,6,2831867,0,0,1
SPERRY CAPITAL INC.,SPERRY CAPITAL INC.,18,2803513,11,0,1
MICK LEVIN PLC,MICK LEVIN PLC,5,2800000,2,0,1
RESERVE AT THUNDERBIRD LP,RESERVE AT THUNDERBIRD LP,3,2800000,0,0,1
PRESCOTT CREEKS PRESERVATION ASSN,PRESCOTT CREEKS PRESERVATION ASSN,5,2799620,3,0,1
PERISCOPE HOLDINGS INC,PERISCOPE HOLDINGS INC,14,2794766,8,0,1
MYTHICS INC,MYTHICS INC,11,2791076,8,0,1
TOWN OF KEARNY,TOWN OF KEARNY,14,2790303,0,0,1
TECTA AMERICA ARIZONA LLC,TECTA AMERICA ARIZONA LLC,14,2785838,2,0,1
HOLDSWORTH CONSTRUCTION INC,HOLDSWORTH CONSTRUCTION INC,13,2783573,7,0,1
MORRISON EDUCATION GROUP INC,MORRISON EDUCATION GROUP INC,12,2778211,0,0,1
EUROFINS EATON ANALYTICAL LLC,EUROFINS EATON ANALYTICAL LLC,15,2777291,3,0,2
GOVERNMENT SCIENTIFIC SOURCE,GOVERNMENT SCIENTIFIC SOURCE,13,2773515,0,0,2
KINGMAN UNIFIED SCHOOL DISTRICT 20,KINGMAN UNIFIED SCHOOL DISTRICT 20,4,2769623,0,0,1
"CREATIVE BUS SALES, INC.","CREATIVE BUS SALES, INC.",18,2768156,4,0,1
ATC GROUP SERVICES INC,ATC GROUP SERVICES INC,17,2762100,1,0,2
MARICOPA UNIFIED SCHOOL DISTRICT 20,MARICOPA UNIFIED SCHOOL DISTRICT 20,6,2757382,0,0,2
P R NORMANDALE LLC,P R NORMANDALE LLC,21,2757111,0,0,1
SOUTHWESTERN FAIR COMM,SOUTHWESTERN FAIR COMM,12,2746919,2,0,1
ARIZONA COMFORT ZONE LLC,ARIZONA COMFORT ZONE LLC,20,2742088,6,0,2
TANQUE VERDE UNIFIED SCHOOL DISTRICT 13,TANQUE VERDE UNIFIED SCHOOL DISTRICT 13,9,2739511,0,0,2
HANESBRANDS,HANESBRANDS,8,2732722,8,0,1
MATRIX DESIGN GROUP INC,MATRIX DESIGN GROUP INC,19,2729989,7,0,2
LENOVO UNITED STATES INC,LENOVO UNITED STATES INC,15,2724415,0,0,2
LAKE POWELL MEDICAL CENTE,LAKE POWELL MEDICAL CENTE,17,2724078,0,0,1
MOHAVE ACCELERATED LEARNING CENTER,MOHAVE ACCELERATED LEARNING CENTER,12,2718971,0,0,2
INRIX INC,INRIX INC,14,2705847,8,0,1
MHMP 19 GLENDALE SENIOR APARTMENTS LLLP,MHMP 19 GLENDALE SENIOR APARTMENTS LLLP,4,2700000,0,0,1
CPLC BROADWAY AND CENTRAL LIHTC LLC,CPLC BROADWAY AND CENTRAL LIHTC LLC,3,2700000,0,0,1
"MARANA LEASED HOUSING ASSOCIATES I, LLLP","MARANA LEASED HOUSING ASSOCIATES I, LLLP",3,2700000,0,0,1
WATERMAN SENIOR APARTMENTS LLC,WATERMAN SENIOR APARTMENTS LLC,6,2700000,0,0,1
"CASA GRANDE AHI, LLLP","CASA GRANDE AHI, LLLP",3,2700000,0,0,1
HAVEN OF GLOBE,HAVEN OF GLOBE,21,2699695,0,0,1
TEACHING STRATEGIES LLC,TEACHING STRATEGIES LLC,4,2699576,3,1,1
URBAN ENERGY SOLUTIONS INC,URBAN ENERGY SOLUTIONS INC,15,2696852,2,0,1
CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA INC,CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA INC,8,2672821,0,0,1
NTT DATA STATE HEALTH CONSULTING LLC,NTT DATA STATE HEALTH CONSULTING LLC,19,2665783,10,0,1
A NEW LEAF INC,A NEW LEAF INC,15,2662598,0,0,2
AKSIA LLC,AKSIA LLC,13,2661992,7,0,1
BLESSED HANDS HEALTH CARE,BLESSED HANDS HEALTH CARE,20,2656860,0,0,2
INCOMM,INCOMM,11,2653690,1,0,1
PRESIDIO SCHOOL,PRESIDIO SCHOOL,15,2650098,0,0,1
NEPC LLC,NEPC LLC,26,2650000,26,0,1
SPRAY SYSTEMS OF ARIZONA INC,SPRAY SYSTEMS OF ARIZONA INC,11,2626250,1,0,1
PHOENIX SPEEDWAY LLC,PHOENIX SPEEDWAY LLC,7,2625000,7,0,1
LEAD CHARTER SCHOOLS,LEAD CHARTER SCHOOLS,11,2623442,0,0,1
PARAGON MANAGEMENT INC,PARAGON MANAGEMENT INC,18,2621350,0,0,1
"FORESIGHT GROUP HOLDINGS VI\, LLC","FORESIGHT GROUP HOLDINGS VI\, LLC",3,2616796,3,1,1
HUNTER GUARD RAIL AND FENCE INC,HUNTER GUARD RAIL AND FENCE INC,14,2613538,14,0,1
NORTHLAND PIONEER COLLEGE,NORTHLAND PIONEER COLLEGE,17,2608745,0,0,2
OVERLAND FLATS APARTMENTS LLC,OVERLAND FLATS APARTMENTS LLC,6,2608233,0,0,1
DAKTRONICS INC,DAKTRONICS INC,9,2605875,5,0,1
LEXISNEXIS VITALCHEK NETWORK INC,LEXISNEXIS VITALCHEK NETWORK INC,11,2601163,4,0,2
CARDEN TRADITIONAL SCHOOL OF SURPRISE INC,CARDEN TRADITIONAL SCHOOL OF SURPRISE INC,9,2596492,0,0,1
ARIZONA BEHAVIORAL HEALTH,ARIZONA BEHAVIORAL HEALTH,11,2588066,0,0,1
NATIONAL CONFERENCE OF STATE LEGISLATURES,NATIONAL CONFERENCE OF STATE LEGISLATURES,11,2587917,10,0,1
MOHAVE ACCELERATED ELEMENTARY SCHOOL INC,MOHAVE ACCELERATED ELEMENTARY SCHOOL INC,10,2587249,0,0,1
DIVERSIFIED FLOORING SERVICES PHOENIX LLC,DIVERSIFIED FLOORING SERVICES PHOENIX LLC,16,2582649,0,0,2
INTERNATIONL BOUNDARY AND WATER COMMISION,INTERNATIONL BOUNDARY AND WATER COMMISION,2,2569300,0,0,0
ELEVATED EDUCATION,ELEVATED EDUCATION,3,2567536,0,0,1
LEGACY TRADITIONAL SCHOOL - SURPRISE,LEGACY TRADITIONAL SCHOOL - SURPRISE,12,2567442,0,0,1
CITY OF SOUTH TUCSON,CITY OF SOUTH TUCSON,3,2564815,0,0,1
LEGACY TRADITIONAL SCHOOL- GLENDALE,LEGACY TRADITIONAL SCHOOL- GLENDALE,13,2562942,0,0,1
TONTO BASIN WATER COMPANY INCORPORATED,TONTO BASIN WATER COMPANY INCORPORATED,13,2561389,0,0,1
TOWN OF QUARTZSITE,TOWN OF QUARTZSITE,9,2555959,0,0,2
GEOGRAPHIC SOLUTIONS INC,GEOGRAPHIC SOLUTIONS INC,5,2554142,4,0,1
COCOPAH INDIAN TRIBE,COCOPAH INDIAN TRIBE,4,2546038,0,0,1
CLERK US DISTRICT COURT,CLERK US DISTRICT COURT,2,2545000,2,1,1
DINA L HILL MBR,DINA L HILL MBR,12,2542108,0,0,1
INFORMATION MANAGEMENT SERVICES,INFORMATION MANAGEMENT SERVICES,11,2538592,7,0,1
MASADA CHARTER SCHOOL,MASADA CHARTER SCHOOL,17,2534039,0,0,1
COMMONWEALTH LAND TITLE COMPANY,COMMONWEALTH LAND TITLE COMPANY,1,2528885,0,0,0
AE INSURANCE LLC,AE INSURANCE LLC,6,2523242,2,0,1
COMMUNITY OPTIONS INC,COMMUNITY OPTIONS INC,6,2521253,0,0,1
CAREER SUCCESS SCHOOL,CAREER SUCCESS SCHOOL,11,2520058,0,0,1
CASA DE LOS NINOS INC,CASA DE LOS NINOS INC,19,2518913,2,0,2
MODEL 1 COMMERCIAL VEHICLES INC,MODEL 1 COMMERCIAL VEHICLES INC,10,2515899,3,0,1
SOUTHERN CALIFORNIA SOUND IMAGE INC,SOUTHERN CALIFORNIA SOUND IMAGE INC,14,2508461,7,0,1
ISTAR INC,ISTAR INC,2,2504101,1,0,0
CLEAR CHANNEL OUTDOOR,CLEAR CHANNEL OUTDOOR,7,2503878,7,0,2
NATIONAL IMMIGRATION LAW CENTER,NATIONAL IMMIGRATION LAW CENTER,3,2502136,1,0,1
HAVASU REG MED CENTER LLC,HAVASU REG MED CENTER LLC,9,2501553,0,0,1
ZACHAR LAW FIRM PLLC,ZACHAR LAW FIRM PLLC,1,2500000,0,0,1
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,SEDGWICK CLAIMS MANAGEMENT SERVICES INC,15,2498882,0,0,1
A NEW DAY COMMUNITY HEALT,A NEW DAY COMMUNITY HEALT,16,2498780,0,0,1
TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,5,2496250,0,0,1
"EDHEC NORTH AMERICA, INC.","EDHEC NORTH AMERICA, INC.",9,2487544,0,0,1
YUMA COUNTY FAIR INC,YUMA COUNTY FAIR INC,12,2480800,2,0,2
OMBUDSMAN EDUCATION SERVICES LTD,OMBUDSMAN EDUCATION SERVICES LTD,6,2472543,0,0,1
BUCKEYE UNION HIGH SCHOOL DISTRICT,BUCKEYE UNION HIGH SCHOOL DISTRICT,2,2470074,0,0,1
COUNTY OF MARICOPA ISAAC SCHOOL DISTRICT 5,COUNTY OF MARICOPA ISAAC SCHOOL DISTRICT 5,1,2469636,0,0,1
SONORA BEHAVIORAL HEALTH,SONORA BEHAVIORAL HEALTH,16,2458626,8,0,2
BANNER DESERT CARE CENTER,BANNER DESERT CARE CENTER,10,2457246,10,0,1
FORT VALLEY FLAGSTAFF LLC,FORT VALLEY FLAGSTAFF LLC,4,2450000,0,0,1
LF BENSON HOUSING INC,LF BENSON HOUSING INC,8,2449645,0,0,1
HERITAGE ACADEMY INC,HERITAGE ACADEMY INC,8,2446868,0,0,1
WESTERN SCHOOL OF SCIENCE AND TECHNOLOGY INC,WESTERN SCHOOL OF SCIENCE AND TECHNOLOGY INC,10,2444981,0,0,1
ARIZONA FIRE & MEDICAL AUTHORITY,ARIZONA FIRE & MEDICAL AUTHORITY,9,2444341,0,0,1
MISSION CRITICAL PARTNERS LLC,MISSION CRITICAL PARTNERS LLC,19,2443616,4,0,2
SONORAN SOUTH CONSTRUCTORS,SONORAN SOUTH CONSTRUCTORS,2,2439632,2,1,1
MARKIT! FORESTRY MANAGEMENT LLC,MARKIT! FORESTRY MANAGEMENT LLC,16,2438835,16,0,1
NEW LEGACY TREATMENT CENT,NEW LEGACY TREATMENT CENT,13,2432743,0,0,1
GUIDEHOUSE INC,GUIDEHOUSE INC,19,2431470,19,0,1
FLOWING WELLS SCHOOL DISTRICT,FLOWING WELLS SCHOOL DISTRICT,3,2423699,0,0,2
ACTION FOR CHILD PROTECTION,ACTION FOR CHILD PROTECTION,9,2408534,3,0,2
WILSON ELECTRIC SVCS CORP,WILSON ELECTRIC SVCS CORP,13,2407966,4,0,2
BERENDO PROPERTY,BERENDO PROPERTY,1,2402600,1,1,1
ADAMAN IRRIGATION WATER DELIVERY DISTRIT,ADAMAN IRRIGATION WATER DELIVERY DISTRIT,2,2400000,2,1,1
PACIFIC LIFE & ANNUITY SERVICES INC,PACIFIC LIFE & ANNUITY SERVICES INC,6,2391025,1,0,1
"GRADUATION ALLIANCE, INC","GRADUATION ALLIANCE, INC",3,2390000,0,0,1
SNOWFLAKE UNIFIED SCHOOL DISTRICT 5,SNOWFLAKE UNIFIED SCHOOL DISTRICT 5,4,2369570,0,0,1
COMM HEALTH MOBILE MED,COMM HEALTH MOBILE MED,9,2362237,0,0,1
IHS SAN CARLOS,IHS SAN CARLOS,6,2360956,0,0,1
HOMELESS YOUTH CONNECTION INC,HOMELESS YOUTH CONNECTION INC,3,2360441,0,0,1
YUMA REGIONAL MEDICAL CENTER,YUMA REGIONAL MEDICAL CENTER,10,2358023,1,0,1
LAUREL TREE AT NORTHERN LLC,LAUREL TREE AT NORTHERN LLC,7,2353836,0,0,0
"XPO LOGISTICS SUPPLY CHAIN, INC.","XPO LOGISTICS SUPPLY CHAIN, INC.",6,2352007,2,0,1
STILL WATER CONCEPTS LLC,STILL WATER CONCEPTS LLC,4,2347740,4,0,1
HAYDON COMPANIES LLC,HAYDON COMPANIES LLC,7,2329179,7,0,1
LINEV SYSTEMS,LINEV SYSTEMS,3,2328500,2,0,1
DUNLAP HOUSING LP,DUNLAP HOUSING LP,4,2323892,0,0,1
NOVITEX ENTERPRISE SOLUTIONS INC,NOVITEX ENTERPRISE SOLUTIONS INC,17,2323787,3,0,1
LEGACY TRADITIONAL SCHOOL - MARICOPA,LEGACY TRADITIONAL SCHOOL - MARICOPA,12,2322862,0,0,1
CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,16,2322727,0,0,1
THE CARIOCA CO,THE CARIOCA CO,15,2318903,0,0,1
TOWN OF WINKELMAN,TOWN OF WINKELMAN,5,2314349,0,0,1
SAFFORD AVIATION SERVICE INC,SAFFORD AVIATION SERVICE INC,10,2314102,10,0,1
AMERICAN FENCE AND SECURITY CO INC,AMERICAN FENCE AND SECURITY CO INC,16,2311148,10,0,1
NORTHSIGHT RECOVERY LLC,NORTHSIGHT RECOVERY LLC,12,2310394,0,0,1
R & R PARTNERS INC,R & R PARTNERS INC,11,2306885,9,0,2
TUCSON BUSINESS INTERIORS INC,TUCSON BUSINESS INTERIORS INC,12,2300158,0,0,1
KINNEY CONSTRUCTION SERVICES INC,KINNEY CONSTRUCTION SERVICES INC,10,2299457,8,0,1
